composition_label,n_positions,D_act,D_coke,D_rem,D_CO2,z
Ag21Au32Cu19Pd16Pt20,1,0.5575306415557861,6.287975072860718,-4.365388929843903,2.8193827271461487,2.1991625606670766
Ag18Au29Cu18Pd22Pt21,1,0.7597059011459351,5.524683594703674,-4.209380567073822,4.083818852901459,2.161056457812722
Ag23Au13Cu23Pd26Pt23,1,1.3486850261688232,5.551359415054321,-4.6025044322013855,4.281617820262909,2.0662913036768535
Ag24Au22Cu17Pd25Pt20,1,0.7893892526626587,5.698365569114685,-3.953090012073517,3.6651886105537415,2.00088333562761
Ag20Au22Cu17Pd25Pt24,1,0.7569974660873413,5.110950589179993,-3.9234593510627747,4.135791599750519,1.9585158551355342
Ag21Au24Cu18Pd17Pt28,1,0.6706214547157288,5.564809739589691,-4.024663627147675,3.316844642162323,1.949569907918133
Ag20Au25Cu17Pd24Pt22,1,0.9471443891525269,5.821663975715637,-4.505366206169128,2.8498178720474243,1.926142279351899
Ag21Au27Cu20Pd21Pt19,1,0.9215520024299624,5.666065871715546,-4.308747947216034,3.1545621752738953,1.9086308114220256
Ag17Au20Cu21Pd26Pt24,1,0.710049033164978,5.672579884529114,-4.083566248416901,2.9629979729652405,1.8872421911673813
Ag23Au20Cu24Pd21Pt20,1,1.0403796434402464,5.611227869987488,-4.300593435764313,3.348328173160553,1.8837516822757596
Ag24Au20Cu16Pd21Pt27,1,0.9223749041557312,5.3522849678993225,-3.9870999455451965,3.6993373036384583,1.854039169573127
Ag18Au28Cu19Pd20Pt23,1,0.9256832599639893,5.590295672416687,-4.022355854511261,3.3389604687690735,1.8382881978880499
Ag19Au20Cu26Pd19Pt24,1,0.8590023517608643,5.403065204620361,-4.349721610546112,2.976867377758026,1.827097346778621
Ag25Au20Cu20Pd24Pt19,1,1.8499209582805634,5.370738536119461,-4.55918687582016,4.504357755184174,1.8142715822585311
Ag22Au20Cu17Pd17Pt32,1,1.4203750789165497,5.3022394478321075,-4.363645613193512,3.9769158959388733,1.7965881597789042
Ag22Au15Cu28Pd19Pt24,1,0.8177412748336792,5.140496850013733,-3.445022404193878,4.007494270801544,1.7443458506714138
Ag12Au24Cu25Pd24Pt23,1,1.0372769236564636,5.116030037403107,-4.027839958667755,3.6069119572639465,1.7169187809983515
Ag16Au33Cu28Pd16Pt15,1,1.4546023905277254,5.273689836263657,-4.548031151294708,3.477228939533234,1.6990423833485941
Ag20Au25Cu16Pd26Pt21,1,1.332487165927887,5.504339873790741,-4.527003705501556,2.97370046377182,1.685053103851791
Ag24Au17Cu12Pd23Pt32,1,0.9118142724037173,4.954218089580536,-3.5782373547554016,3.9613755345344543,1.6753123083063792
Ag27Au25Cu19Pd12Pt25,1,1.109135448932648,5.736492574214935,-3.704528331756592,3.117811679840088,1.6276091066643867
Ag17Au20Cu23Pd20Pt28,1,0.7179427146911623,5.3865437507629395,-3.8055434823036194,2.6656921505928035,1.6265621596182789
Ag17Au29Cu22Pd15Pt25,1,0.7244120836257937,5.666725754737854,-3.418703317642212,2.8442447185516353,1.6256936613105175
Ag18Au21Cu25Pd21Pt23,1,0.8116348385810852,5.38577264547348,-3.6076207160949707,3.072728157043457,1.6239277782291501
Ag24Au27Cu20Pd14Pt23,1,0.8393993377685549,5.950684309005737,-4.575468480587006,1.2610227465629575,1.6148500834887363
Ag22Au24Cu23Pd20Pt19,1,0.8978581428527832,5.699071884155273,-4.559076488018036,1.6661075949668884,1.614778018186959
Ag19Au25Cu25Pd21Pt18,1,1.0866118669509888,5.618397831916809,-3.82476544380188,2.956905126571655,1.600441144138549
Ag24Au19Cu16Pd22Pt27,1,1.332676887512207,5.229327201843262,-3.750505745410919,3.8990657925605774,1.5929098232234495
Ag27Au18Cu18Pd26Pt19,1,0.7666273117065432,5.876348257064819,-4.424371540546417,1.1997931599617004,1.5615563657763945
Ag29Au20Cu21Pd20Pt18,1,1.0337353944778442,5.622779726982117,-4.1569326519966125,2.296389877796173,1.5610928067934695
