composition_label,n_positions,D_act,D_coke,D_rem,D_CO2,z
Co29Ni21Pd21Rh16Ru21,8,1.4937262460589409,3.016238371531169,-1.6934377749760947,1.101818323135376,2.012108535189783
Co20Ni17Pd32Rh20Ru19,8,1.2776671908795834,2.669575701157252,-2.1440486113230386,0.7236476966312954,2.0098834109588704
Co17Ni23Pd19Rh24Ru25,8,1.5609839595854282,2.3362459341684976,-1.9010716279347737,2.0972272952397666,1.983159482477931
Co21Ni21Pd24Rh30Ru12,8,1.3440233431756496,2.2115548104047775,-1.84117990732193,2.050588505608695,1.9564240277250908
Co18Ni16Pd30Rh20Ru24,8,1.4315205216407776,2.2008903367178783,-1.9538846356528146,1.9590436816215515,1.9471867269974181
Co13Ni15Pd33Rh22Ru25,8,1.594753697514534,2.5772103468577066,-1.7891430457433064,1.4486892700195313,1.8845509431422691
Co18Ni21Pd24Rh22Ru23,8,1.4053038880228996,2.167030096054077,-1.8352165222167969,1.8429687023162842,1.859620911315486
Co19Ni22Pd22Rh21Ru24,8,1.6639193445444107,2.171747088432312,-1.8743037700653076,1.9315052032470703,1.813639482327042
Co13Ni22Pd19Rh25Ru29,8,1.3095080479979515,2.4070459604263306,-1.773645281791687,1.0656310490199499,1.7937670238323293
Co18Ni17Pd24Rh22Ru27,8,0.9282961562275887,2.432324503149305,-1.098897099494934,1.5519039233525593,1.7665059170374824
Co22Ni19Pd26Rh20Ru21,8,1.6016117706894875,2.6304468154907226,-1.6819000720977784,0.9300730625788372,1.7349356474721214
Co16Ni15Pd28Rh26Ru23,8,1.0095378421247005,1.9818420835903712,-1.504534329686846,1.7436975666454861,1.7339382470938594
Co19Ni20Pd27Rh22Ru20,8,1.417064219713211,2.3083748519420624,-1.5388131539026897,1.538235366344452,1.7246061797839778
Co22Ni20Pd25Rh20Ru21,8,1.6758683025836945,2.384528557459513,-1.6289783318837483,1.520747224489848,1.7100111614953146
Co20Ni23Pd23Rh28Ru14,8,1.6426941230893135,2.159976899623871,-1.763719916343689,1.6796814714159285,1.705375424023962
Co22Ni18Pd23Rh24Ru21,8,2.0761601254343987,2.4759698708852134,-2.109029006958008,1.0172587633132935,1.7019690558921234
Co14Ni27Pd27Rh23Ru17,8,1.5459816381335258,2.4039671421051025,-1.6783042430877684,1.1563897530237834,1.694432863001701
Co18Ni18Pd30Rh20Ru22,8,1.1394253596663475,2.248050570487976,-1.4551029602686565,1.2815615790230888,1.6884613850616832
Co20Ni17Pd25Rh24Ru22,8,1.483752302825451,2.195895254611969,-1.7113543351491292,1.4012954831123352,1.685634192850254
Co20Ni14Pd29Rh24Ru21,8,1.7150403708219528,2.7184352397918703,-1.5756110668182375,0.8699709971745808,1.6806763053837483
Co17Ni34Pd17Rh18Ru22,8,1.7963924258947372,2.39449679851532,-1.6967079639434814,1.4010625839233397,1.6738505802081443
