scope,system,element,adsorbate,n,r
pooled,,Ag,CH4,22007,-0.5054
pooled,,Au,CH4,22007,-0.5051
pooled,,Ca,CH4,22007,0.1121
pooled,,Ce,CH4,22007,0.1187
pooled,,Co,CH4,22007,0.4719
pooled,,Cu,CH4,22007,-0.1347
pooled,,Fe,CH4,22007,-0.0155
pooled,,La,CH4,22007,0.1134
pooled,,Mn,CH4,22007,-0.0123
pooled,,Ni,CH4,22007,0.4382
pooled,,Pd,CH4,22007,-0.277
pooled,,Pt,CH4,22007,-0.503
pooled,,Rh,CH4,22007,0.0686
pooled,,Ru,CH4,22007,0.0647
pooled,,Sn,CH4,22007,0.4437
pooled,,Zn,CH4,22007,0.4484
pooled,,Ag,CH3,18551,-0.7949
pooled,,Au,CH3,18551,-0.7939
pooled,,Ca,CH3,18551,0.0086
pooled,,Ce,CH3,18551,0.0064
pooled,,Co,CH3,18551,0.8119
pooled,,Cu,CH3,18551,-0.6037
pooled,,Fe,CH3,18551,0.0261
pooled,,La,CH3,18551,0.0091
pooled,,Mn,CH3,18551,0.0247
pooled,,Ni,CH3,18551,0.7317
pooled,,Pd,CH3,18551,-0.2413
pooled,,Pt,CH3,18551,-0.7988
pooled,,Rh,CH3,18551,0.4953
pooled,,Ru,CH3,18551,0.5516
pooled,,Sn,CH3,18551,0.2029
pooled,,Zn,CH3,18551,0.2034
pooled,,Ag,CH2,15841,-0.608
pooled,,Au,CH2,15841,-0.6089
pooled,,Co,CH2,15841,0.6634
pooled,,Cu,CH2,15841,-0.5268
pooled,,Fe,CH2,15841,0.0199
pooled,,Mn,CH2,15841,0.0198
pooled,,Ni,CH2,15841,0.5827
pooled,,Pd,CH2,15841,-0.2006
pooled,,Pt,CH2,15841,-0.6221
pooled,,Rh,CH2,15841,0.4199
pooled,,Ru,CH2,15841,0.4837
pooled,,Sn,CH2,15841,0.1398
pooled,,Zn,CH2,15841,0.1413
pooled,,Ag,CH,10363,-0.4756
pooled,,Au,CH,10363,-0.4736
pooled,,Co,CH,10363,0.5374
pooled,,Cu,CH,10363,-0.4716
pooled,,Ni,CH,10363,0.4808
pooled,,Pd,CH,10363,-0.1608
pooled,,Pt,CH,10363,-0.4985
pooled,,Rh,CH,10363,0.3864
pooled,,Ru,CH,10363,0.4455
pooled,,Sn,CH,10363,0.0517
pooled,,Zn,CH,10363,0.0527
pooled,,Ag,C,9359,-0.351
pooled,,Au,C,9359,-0.3414
pooled,,Co,C,9359,0.3896
pooled,,Cu,C,9359,-0.3688
pooled,,Fe,C,9359,-0.0444
pooled,,Mn,C,9359,-0.0443
pooled,,Ni,C,9359,0.3562
pooled,,Pd,C,9359,-0.0825
pooled,,Pt,C,9359,-0.3752
pooled,,Rh,C,9359,0.2955
pooled,,Ru,C,9359,0.3474
pooled,,Sn,C,9359,0.0111
pooled,,Zn,C,9359,0.0123
pooled,,Ag,H,9914,-0.702
pooled,,Au,H,9914,-0.6992
pooled,,Co,H,9914,0.6739
pooled,,Cu,H,9914,-0.7317
pooled,,Fe,H,9914,-0.1013
pooled,,Mn,H,9914,-0.0997
pooled,,Ni,H,9914,0.6588
pooled,,Pd,H,9914,0.0704
pooled,,Pt,H,9914,-0.7181
pooled,,Rh,H,9914,0.6828
pooled,,Ru,H,9914,0.6886
pooled,,Sn,H,9914,0.0196
pooled,,Zn,H,9914,0.0185
pooled,,Ag,O,3283,-0.2005
pooled,,Au,O,3283,-0.2095
pooled,,Ca,O,3283,0.0198
pooled,,Ce,O,3283,0.0198
pooled,,Co,O,3283,0.2209
pooled,,Cu,O,3283,-0.2787
pooled,,Fe,O,3283,-0.1749
pooled,,La,O,3283,0.0198
pooled,,Mn,O,3283,-0.1754
pooled,,Ni,O,3283,0.2249
pooled,,Pd,O,3283,0.0775
pooled,,Pt,O,3283,-0.2375
pooled,,Rh,O,3283,0.2483
pooled,,Ru,O,3283,0.2514
pooled,,Sn,O,3283,0.0217
pooled,,Zn,O,3283,0.0234
pooled,,Ag,OH,5950,-0.8308
pooled,,Au,OH,5950,-0.8315
pooled,,Co,OH,5950,0.8476
pooled,,Cu,OH,5950,-0.8587
pooled,,Ni,OH,5950,0.8323
pooled,,Pd,OH,5950,0.1109
pooled,,Pt,OH,5950,-0.8477
pooled,,Rh,OH,5950,0.8148
pooled,,Ru,OH,5950,0.8264
pooled,,Sn,OH,5950,0.0071
pooled,,Zn,OH,5950,0.0093
pooled,,Ag,CO,16149,-0.7639
pooled,,Au,CO,16149,-0.7641
pooled,,Co,CO,16149,0.8156
pooled,,Cu,CO,16149,-0.735
pooled,,Ni,CO,16149,0.7205
pooled,,Pd,CO,16149,-0.1869
pooled,,Pt,CO,16149,-0.7747
pooled,,Rh,CO,16149,0.5967
pooled,,Ru,CO,16149,0.6676
pooled,,Sn,CO,16149,0.069
pooled,,Zn,CO,16149,0.0687
pooled,,Ag,CO2,11761,-0.3788
pooled,,Au,CO2,11761,-0.3772
pooled,,Co,CO2,11761,0.3525
pooled,,Cu,CO2,11761,-0.402
pooled,,Fe,CO2,11761,-0.1502
pooled,,Mn,CO2,11761,-0.1506
pooled,,Ni,CO2,11761,0.3345
pooled,,Pd,CO2,11761,0.0696
pooled,,Pt,CO2,11761,-0.3721
pooled,,Rh,CO2,11761,0.3558
pooled,,Ru,CO2,11761,0.3732
pooled,,Sn,CO2,11761,0.0517
pooled,,Zn,CO2,11761,0.0491
within,AgAuCuPdPt,Ag,CH4,2000,-0.0505
within,AgAuCuPdPt,Au,CH4,2000,-0.0537
within,AgAuCuPdPt,Cu,CH4,2000,0.1264
within,AgAuCuPdPt,Pd,CH4,2000,-0.1001
within,AgAuCuPdPt,Pt,CH4,2000,0.073
within,AgAuCuPdPt,Ag,CH3,2000,0.0548
within,AgAuCuPdPt,Au,CH3,2000,0.065
within,AgAuCuPdPt,Cu,CH3,2000,0.0798
within,AgAuCuPdPt,Pd,CH3,2000,-0.1073
within,AgAuCuPdPt,Pt,CH3,2000,-0.0925
within,AgAuCuPdPt,Ag,CH2,2000,0.1519
within,AgAuCuPdPt,Au,CH2,2000,0.1233
within,AgAuCuPdPt,Cu,CH2,2000,0.0249
within,AgAuCuPdPt,Pd,CH2,2000,-0.166
within,AgAuCuPdPt,Pt,CH2,2000,-0.1302
within,AgAuCuPdPt,Ag,CH,1840,0.1309
within,AgAuCuPdPt,Au,CH,1840,0.1439
within,AgAuCuPdPt,Cu,CH,1840,-0.0687
within,AgAuCuPdPt,Pd,CH,1840,-0.1011
within,AgAuCuPdPt,Pt,CH,1840,-0.1006
within,AgAuCuPdPt,Ag,C,1541,0.1056
within,AgAuCuPdPt,Au,C,1541,0.1864
within,AgAuCuPdPt,Cu,C,1541,-0.0352
within,AgAuCuPdPt,Pd,C,1541,-0.1413
