composition_label,E_form,S_archived_kB,S_metal_sublattice_kB,S_metal_sublattice_1e4,TS_1273K,proxy_archived,proxy_regenerated
Ca20Ce17Co21La23Ni27,0.0623,2.061,1.598,1.3768,0.1753,-0.1637,-0.1129
Ca16Ce25Co26La19Ni22,0.1008,2.054,1.594,1.3738,0.1749,-0.1245,-0.0741
Ca17Ce24Co27La17Ni23,0.1407,2.03,1.592,1.3721,0.1747,-0.0819,-0.0339
Ca19Ce29Co25La17Ni18,0.1443,2.063,1.587,1.3677,0.1741,-0.082,-0.0298
Ca21Ce20Co23La20Ni24,0.1469,2.054,1.607,1.3845,0.1762,-0.0784,-0.0293
Ca29Ce13Co17La28Ni21,0.144,2.055,1.567,1.3506,0.1719,-0.0814,-0.0279
Ca22Ce25Co23La22Ni16,0.1494,2.038,1.599,1.3781,0.1754,-0.0741,-0.026
Ca29Ce23Co18La15Ni23,0.1557,2.024,1.585,1.3655,0.1738,-0.0663,-0.0181
Ca15Ce23Co22La22Ni26,0.1582,2.046,1.595,1.3741,0.1749,-0.0663,-0.0168
Ca31Ce20Co19La12Ni26,0.1594,2.049,1.563,1.3471,0.1715,-0.0654,-0.0121
Ca19Ce15Co25La24Ni25,0.1652,2.058,1.592,1.3715,0.1746,-0.0606,-0.0094
Ca26Ce17Co28La16Ni21,0.1762,2.028,1.585,1.366,0.1739,-0.0463,0.0023
Ca16Ce32Co16La22Ni22,0.1759,2.035,1.574,1.3567,0.1727,-0.0474,0.0032
Ca21Ce22Co24La25Ni16,0.1828,2.046,1.598,1.3774,0.1753,-0.0417,0.0074
Ca19Ce20Co20La23Ni26,0.1844,2.052,1.602,1.3809,0.1758,-0.0407,0.0086
Ca23Ce25Co20La17Ni23,0.1855,2.051,1.601,1.3795,0.1756,-0.0394,0.0099
Ca21Ce25Co14La22Ni26,0.1849,2.04,1.589,1.3692,0.1743,-0.0389,0.0106
Ca20Ce14Co21La31Ni22,0.1885,2.05,1.578,1.3598,0.1731,-0.0364,0.0154
Ca24Ce24Co20La21Ni19,0.1936,2.037,1.605,1.383,0.1761,-0.0298,0.0176
Ca21Ce16Co28La21Ni22,0.1933,2.046,1.594,1.3735,0.1748,-0.0311,0.0185
Ca16Ce26Co23La21Ni22,0.1942,2.042,1.598,1.3767,0.1753,-0.0298,0.0189
Ca15Ce22Co26La27Ni18,0.1931,2.028,1.586,1.367,0.174,-0.0293,0.0191
Ca20Ce20Co27La23Ni18,0.1967,2.027,1.599,1.3781,0.1754,-0.0256,0.0213
Ca30Ce16Co26La17Ni19,0.1946,2.05,1.578,1.36,0.1731,-0.0302,0.0215
Ca22Ce20Co23La20Ni23,0.1988,2.043,1.607,1.3852,0.1763,-0.0253,0.0225
Ca22Ce22Co29La17Ni18,0.1979,2.024,1.591,1.371,0.1745,-0.0241,0.0233
Ca19Ce18Co29La23Ni19,0.1981,2.036,1.592,1.3723,0.1747,-0.0252,0.0234
Ca29Ce21Co22La21Ni15,0.2019,2.038,1.588,1.3686,0.1742,-0.0217,0.0277
Ca23Ce26Co20La19Ni20,0.2038,2.039,1.602,1.3809,0.1758,-0.0199,0.028
Ca22Ce22Co20La17Ni27,0.204,2.041,1.598,1.3772,0.1753,-0.0199,0.0287
Ca28Ce20Co21La16Ni23,0.2039,2.047,1.593,1.3727,0.1747,-0.0207,0.0291
Ca26Ce21Co24La21Ni16,0.2052,2.037,1.597,1.376,0.1752,-0.0183,0.03
Ca25Ce23Co18La21Ni21,0.2063,2.028,1.604,1.3818,0.1759,-0.0162,0.0304
Ca19Ce33Co9La25Ni22,0.1998,2.032,1.538,1.3252,0.1687,-0.0231,0.0311
Ca16Ce17Co20La28Ni27,0.2051,2.047,1.583,1.3639,0.1736,-0.0195,0.0314
Ca24Ce18Co24La18Ni24,0.207,2.041,1.6,1.3787,0.1755,-0.0169,0.0315
Ca25Ce23Co20La14Ni26,0.2066,2.052,1.588,1.3685,0.1742,-0.0185,0.0323
Ca23Ce27Co20La22Ni16,0.2076,2.041,1.595,1.3747,0.175,-0.0163,0.0326
Ca26Ce23Co24La19Ni16,0.2079,2.023,1.595,1.3745,0.175,-0.0141,0.0329
Ca25Ce12Co26La21Ni24,0.2062,2.043,1.578,1.3601,0.1731,-0.018,0.033
Ca24Ce24Co24La19Ni17,0.2094,2.043,1.599,1.3783,0.1755,-0.0146,0.034
Ca22Ce24Co20La17Ni25,0.2103,2.041,1.6,1.3791,0.1756,-0.0136,0.0347
Ca22Ce24Co24La18Ni20,0.2107,2.05,1.604,1.3818,0.1759,-0.0142,0.0348
Ca18Ce20Co23La28Ni19,0.212,2.042,1.596,1.3753,0.1751,-0.0121,0.0369
Ca10Ce28Co17La27Ni26,0.208,2.042,1.551,1.3363,0.1701,-0.016,0.0379
Ca27Ce23Co19La15Ni24,0.2131,2.036,1.59,1.3702,0.1744,-0.0102,0.0387
Ca24Ce20Co24La21Ni19,0.2158,2.031,1.605,1.383,0.1761,-0.007,0.0398
