adsorbate,n,missing,mean,mean_ci_low,mean_ci_high,median,median_boot_ci_low,median_boot_ci_high,std,var,skewness,kurtosis_excess,min,max,range,p05,p10,p90,p95,Q1,Q3,IQR,outlier_count,outlier_frac,kde_mode,shapiro_p
C,4527,5126,5.060816597656775,5.011416123547393,5.110217071766156,4.93544203042984,4.890741944313049,4.97583794593811,1.6953997590011138,2.874380342821035,0.7135782800466214,0.8087350476840487,0.870872437953949,9.998431205749512,9.127558767795563,2.4515669345855713,2.993083906173706,7.199125385284424,8.888742542266844,4.024792909622192,5.792746841907501,1.7679539322853088,293,0.06472277446432516,4.946538997185719,6.802168351205974e-35
CH,5100,4553,4.7797779328952625,4.720416237557913,4.839139628232612,4.794055938720703,4.738927998393774,4.860065842398575,2.16242070529315,4.676063306680525,0.25630090234463937,-0.36435424252535276,-0.2434085011482238,9.998644828796388,10.242053329944612,1.38972909450531,2.001284146308899,7.811589813232422,8.979634141921998,3.10374965518713,6.025154554418155,2.9214048992310246,0,0.0,5.12951047242702,
CH2,6237,3416,4.088123730849251,4.015256781225974,4.160990680472528,3.456890174320766,3.3807097002863884,3.519474983215332,2.9355269300470583,8.617318357031508,0.512493901276332,-0.9185921692501111,-1.0637271404266355,9.997241020202637,11.060968160629272,0.27372292280197147,0.6411086916923523,8.844745826721192,9.449963378906249,1.6341009140014648,6.469089031219482,4.834988117218018,0,0.0,3.288670022924383,
CH2O,7238,2415,3.2940130018018974,3.228543125278003,3.359482878325792,2.9769255220890045,2.9213161170482635,3.0315450821071863,2.8413849775117517,8.073468590429458,0.6531591566785447,-0.5209146543501326,-0.7320709228515625,9.99736213684082,10.729433059692383,-0.06319485306739799,0.0540108859539032,7.927365016937256,8.953654813766478,0.4592430591583252,4.942425847053528,4.483182787895203,0,0.0,0.19181105849501845,
CH3,7301,2352,3.8963268567078195,3.8191637898422957,3.9734899235733434,3.285595417022705,3.2091034948825836,3.3547314405441284,3.36341572567063,11.31256534368849,0.1927854662058996,-1.1967354707570461,-1.8125231266021729,9.999908447265623,11.812431573867796,-0.8148854970932007,-0.495979368686676,8.834144592285156,9.37276554107666,0.6096817851066589,6.960041046142578,6.350359261035919,0,0.0,2.9408645579764796,
CH3O,8181,1472,3.1480396049175274,3.089483755671384,3.2065954541636708,2.6403468549251556,2.5968079268932343,2.6831985116004944,2.701849311658949,7.299989702911937,0.6663650739488486,-0.29585541836714224,-1.261803150177002,9.999268531799316,11.261071681976318,-0.4016627669334411,-0.1827340126037597,7.430420398712158,8.653325080871582,1.147346019744873,4.715040683746338,3.567694664001465,0,0.0,2.469585080762525,
CH4,9014,639,0.6580563636369786,0.5990429968969352,0.717069730377022,-0.09731571190059185,-0.13106244429945946,-0.05894839335232977,2.85826671745092,8.169688628087657,1.4576612849811341,1.4365599387049723,-2.6716902256011963,9.989234924316406,12.660925149917603,-2.1897615671157835,-2.038521337509155,5.4411732673645,7.303332138061524,-1.4150252100080252,1.1969460844993591,2.6119712945073843,986,0.10938540048812957,-0.04602468335950727,
CO,5287,4366,3.7407899103224014,3.6681357489690187,3.813444071675784,3.6108032166957855,3.5172221660614014,3.6701036788523194,2.6947445636078586,7.261648263094108,0.5747110702773729,-0.5881314178166779,-0.5801831483840942,9.984224319458008,10.564407467842102,0.338445258140564,0.567588222026825,8.10435962677002,8.989109897613526,1.2336676120758057,5.13211144719805,3.8984438351222446,0,0.0,0.8707528789718826,
CO2,4901,4752,4.188765864054945,4.122525395954752,4.255006332155138,3.9666691167013988,3.908955544233322,4.02646051134382,2.3654314337822573,5.595265867925185,0.757808254126822,-0.21609334591528206,0.6695747971534729,9.996000289916992,9.32642549276352,1.279057264328003,1.5035316944122314,8.18916130065918,9.17478084564209,2.0540547370910645,5.124035080273946,3.0699803431828814,80,0.016323199347072027,4.209345719955108,6.93291878364202e-45
COOH,5010,4643,4.9106180181644845,4.848712869987179,4.97252316634179,4.63356876373291,4.5822242996522355,4.679711886814662,2.2350774920367384,4.995571395409237,0.37979072821576154,-0.27327797091558326,0.3357967734336853,9.997947692871094,9.662150919437408,1.2390215277671814,1.8513169288635254,8.43077621459961,9.279006481170654,3.640440411865711,6.005204107080187,2.364763695214476,166,0.03313373253493014,4.524585559322789,
H,4833,4820,4.474590233056466,4.411631115385733,4.537549350727199,4.461449563503265,4.40983784198761,4.525997675955296,2.2325959895801364,4.984484852689309,0.6479616735747187,-0.10699353094884678,-0.1534330248832702,9.999526977539062,10.152960002422333,1.4281341552734375,1.738453245162964,8.15090827941895,9.224216079711914,2.6573596000671387,5.441460371017456,2.7841007709503174,123,0.025450031036623216,4.877547302761593,2.8438497641482263e-39
H2,6204,3449,4.245174356108756,4.184844046736259,4.305504665481253,4.319689869880676,4.255485919117928,4.377046737074852,2.4240334356149966,5.875938096979444,0.4523347374809704,-0.6968781088163141,0.0317077040672302,9.998817443847656,9.967109739780426,1.1786080956459046,1.3553748607635498,7.982109260559082,8.851117515563965,1.8007193207740784,5.597121551632881,3.796402230858803,0,0.0,1.5583831007416182,
H2O,8122,1531,4.157087028172437,4.100899818800255,4.213274237544618,3.892577826976776,3.8510028032585977,3.9296510156244038,2.5831886973039526,6.672863845878892,0.24911156320239564,-0.8932617498940525,0.1327865123748779,9.993216514587402,9.860430002212524,0.5578523755073548,0.7167930722236633,7.922757816314697,8.591042852401733,1.6609119772911072,6.211837291717529,4.550925314426422,0,0.0,3.747801663997295,
HCO,5563,4090,3.903229915367685,3.83429666945457,3.9721631612807995,3.458873003721237,3.3884632460772988,3.515687994658947,2.6226518907330263,6.878302939965518,0.6967252433686726,-0.46992826019201894,-0.498436689376831,9.998400688171388,10.49683737754822,0.5715700864791871,0.8559954524040223,8.257128715515138,9.171658706665038,1.8144444227218628,5.316399097442627,3.501954674720764,0,0.0,3.6000521082777874,
HCOO,1992,7661,6.200147573053438,6.109484296366287,6.290810849740589,6.07718269030253,5.938612937927246,6.187352895736694,2.06330720173236,4.257236608720622,-0.038797793457262,-0.6581643414122484,1.151782512664795,9.997303009033203,8.845520496368408,2.511199450492859,3.4916956424713135,9.230303955078126,9.596009016036987,4.812649607658386,7.728539526462555,2.9158899188041687,0,0.0,5.226036811137463,2.6181030324350096e-16
