,C,CH,CH2,CH2O,CH3,CH3O,CH4,CO,CO2,COOH,H,H2,H2O,HCO,HCOO,O,OH
C,0.0,0.20253178666296207,0.4245268288373819,0.4542082354022706,0.4544420147925032,0.44737877965026523,0.6508477014519947,0.4081393124935809,0.3360046589762818,0.22051247197355767,0.25177548698579566,0.3400209819886745,0.3987990502826425,0.3989589077321159,0.2723183591145727,0.26336746457939064,0.251219606367318
CH,0.20253178666296207,0.0,0.30162670615566667,0.3666288114901826,0.3740082081793759,0.34285554608139585,0.5960239391471558,0.3114477288530865,0.263532961199751,0.18663474648666306,0.18817024868671958,0.2629430774024182,0.3316239763659836,0.2767383417346328,0.2692493397218655,0.33565788095659554,0.23559103356806513
CH2,0.4245268288373819,0.30162670615566667,0.0,0.2423978071529652,0.2905954444164282,0.2630893876720381,0.5081270098955363,0.16564515797438623,0.3030188360460413,0.311773259486498,0.33066561643007975,0.34593789572621425,0.2708883544732797,0.1344420551071248,0.4210199857573283,0.5190190906067275,0.3922502121242647
CH2O,0.4542082354022706,0.3666288114901826,0.2423978071529652,0.0,0.2839073791716468,0.2456809632300041,0.47806529172927775,0.2888551528340559,0.42152174597214986,0.40558866851204856,0.40887610975159855,0.4634185213836975,0.37157824663247435,0.2933814467760378,0.47472211661024727,0.5468419164420961,0.4076688207174778
CH3,0.4544420147925032,0.3740082081793759,0.2905954444164282,0.2839073791716468,0.0,0.23854069406569392,0.43783188868207784,0.3681142412313599,0.4449476728471392,0.41611895615846095,0.42132559567050337,0.4752382678403642,0.40941555567893123,0.35026716799147595,0.4237174462114803,0.5251197758824944,0.38224960065489527
CH3O,0.44737877965026523,0.34285554608139585,0.2630893876720381,0.2456809632300041,0.23854069406569392,0.0,0.45833977010771504,0.3353250026191989,0.38018234901849646,0.4021411995969422,0.3606205299148834,0.4177783292977784,0.4233206217250839,0.2982905987322675,0.4673967059098551,0.5545909799034648,0.39872732121439947
CH4,0.6508477014519947,0.5960239391471558,0.5081270098955363,0.47806529172927775,0.43783188868207784,0.45833977010771504,0.0,0.515103114166932,0.6144934389584527,0.6082317895653505,0.6184800569612802,0.6119579686598068,0.5675722634897424,0.5442428567206045,0.6486658394726735,0.6819542433919306,0.6503066155770602
CO,0.4081393124935809,0.3114477288530865,0.16564515797438623,0.2888551528340559,0.3681142412313599,0.3353250026191989,0.515103114166932,0.0,0.2955083416233658,0.2811189637529382,0.34294320015580854,0.3242307417444609,0.2093081722743143,0.15768638476269795,0.44257049841929424,0.4958613230843984,0.4374491731905254
CO2,0.3360046589762818,0.263532961199751,0.3030188360460413,0.42152174597214986,0.4449476728471392,0.38018234901849646,0.6144934389584527,0.2955083416233658,0.0,0.20962157438302192,0.19904340945313415,0.1666618223678131,0.36849419877680556,0.24836590745317383,0.39253395478987435,0.4691884357213995,0.40244023872246876
COOH,0.22051247197355767,0.18663474648666306,0.311773259486498,0.40558866851204856,0.41611895615846095,0.4021411995969422,0.6082317895653505,0.2811189637529382,0.20962157438302192,0.0,0.19998615189679314,0.22751309557807584,0.29764105991033335,0.2765409559316129,0.2920560660138738,0.3498233284532082,0.3279127438596835
H,0.25177548698579566,0.18817024868671958,0.33066561643007975,0.40887610975159855,0.42132559567050337,0.3606205299148834,0.6184800569612802,0.34294320015580854,0.19904340945313415,0.19998615189679314,0.0,0.2205608519644964,0.4057784322171846,0.2947123066454626,0.33774669504786536,0.4249615233137442,0.2949889780371291
H2,0.3400209819886745,0.2629430774024182,0.34593789572621425,0.4634185213836975,0.4752382678403642,0.4177783292977784,0.6119579686598068,0.3242307417444609,0.1666618223678131,0.22751309557807584,0.2205608519644964,0.0,0.39136233153445393,0.3052800263724726,0.36741848566977775,0.42588904134973743,0.4202884900148352
H2O,0.3987990502826425,0.3316239763659836,0.2708883544732797,0.37157824663247435,0.40941555567893123,0.4233206217250839,0.5675722634897424,0.2093081722743143,0.36849419877680556,0.29764105991033335,0.4057784322171846,0.39136233153445393,0.0,0.24213268487070633,0.4209070702737738,0.44145083459808676,0.422432672113089
HCO,0.3989589077321159,0.2767383417346328,0.1344420551071248,0.2933814467760378,0.35026716799147595,0.2982905987322675,0.5442428567206045,0.15768638476269795,0.24836590745317383,0.2765409559316129,0.2947123066454626,0.3052800263724726,0.24213268487070633,0.0,0.4271891697023622,0.5116940853417584,0.3900650040901698
HCOO,0.2723183591145727,0.2692493397218655,0.4210199857573283,0.47472211661024727,0.4237174462114803,0.4673967059098551,0.6486658394726735,0.44257049841929424,0.39253395478987435,0.2920560660138738,0.33774669504786536,0.36741848566977775,0.4209070702737738,0.4271891697023622,0.0,0.26133307560803604,0.2886630314766589
O,0.26336746457939064,0.33565788095659554,0.5190190906067275,0.5468419164420961,0.5251197758824944,0.5545909799034648,0.6819542433919306,0.4958613230843984,0.4691884357213995,0.3498233284532082,0.4249615233137442,0.42588904134973743,0.44145083459808676,0.5116940853417584,0.26133307560803604,0.0,0.3651741635035266
OH,0.251219606367318,0.23559103356806513,0.3922502121242647,0.4076688207174778,0.38224960065489527,0.39872732121439947,0.6503066155770602,0.4374491731905254,0.40244023872246876,0.3279127438596835,0.2949889780371291,0.4202884900148352,0.422432672113089,0.3900650040901698,0.2886630314766589,0.3651741635035266,0.0
