,C,CH,CH2,CH2O,CH3,CH3O,CH4,CO,CO2,COOH,H,H2,H2O,HCO,HCOO,O,OH
C,0.0,0.4906266702577802,1.5683416007070954,1.8914575611322677,1.8962706936734683,1.9332940866861088,4.402760234019797,1.5053213297525772,1.0703600361056058,0.534330043258439,0.7456629273409916,0.9748540665402615,1.1706974783830586,1.4200607892702157,1.1393507166802386,0.7733474597112506,0.5029675413069925
CH,0.4906266702577802,0.0,1.1056603978215476,1.501083259359126,1.4174460836281837,1.6317620865104971,4.121721640608459,1.0915793170017738,0.686846595105968,0.28857994224808614,0.39706395954567164,0.5758748120510537,0.7174484658070988,0.99367832380857,1.4203701663620043,1.0801788602885636,0.3175809232766572
CH2,1.5683416007070954,1.1056603978215476,0.0,0.7966378220759285,0.47413676537874516,0.9400847690722528,3.4300673672122723,0.41178279364942055,0.65968148206197,1.0357435743792143,0.9199908514071434,0.6497675684209685,0.4714651811696541,0.3270002980911204,2.112023842204187,2.089162787199525,1.1850347480169547
CH2O,1.8914575611322677,1.501083259359126,0.7966378220759285,0.0,0.8278875810199744,0.3163877452517726,2.6359566381649184,0.4477120816879627,0.9014136283005947,1.6166092117323956,1.212564747633635,0.9660366087977967,0.9126226008456512,0.6092169135657873,2.9061345875897024,2.5787283558887397,1.7269169036793603
CH3,1.8962706936734683,1.4174460836281837,0.47413676537874516,0.8278875810199744,0.0,0.9480685328116616,3.238270493070841,0.7645954596210837,1.0886691283287124,1.3820058566676185,1.2935019438266158,1.024472011000103,0.8246431512850697,0.7886721114524002,2.3038214300665416,2.341453634597983,1.480390183793739
CH3O,1.9332940866861088,1.6317620865104971,0.9400847690722528,0.3163877452517726,0.9480685328116616,0.0,2.489983241280549,0.6187896460775835,1.0407278086840586,1.762580645240378,1.3265613214064191,1.0971876983128355,1.0192772983526266,0.755190522610927,3.052108448645082,2.682347990818275,1.872563135054717
CH4,4.402760234019797,4.121721640608459,3.4300673672122723,2.6359566381649184,3.238270493070841,2.489983241280549,0.0,3.0827352031092037,3.5307095004179665,4.252561654527506,3.8165338694194877,3.587117992471777,3.499030664535458,3.2451735517307063,5.5420912094164585,5.1723066666303055,4.362546376335265
CO,1.5053213297525772,1.0915793170017738,0.41178279364942055,0.4477120816879627,0.7645954596210837,0.6187896460775835,3.0827352031092037,0.0,0.48677480469427525,1.1698281078420831,0.8148101952710007,0.5401083227310362,0.4846149346397183,0.23642330539063044,2.459357662731037,2.161869710781462,1.2798884030283533
CO2,1.0703600361056058,0.686846595105968,0.65968148206197,0.9014136283005947,1.0886691283287124,1.0407278086840586,3.5307095004179665,0.48677480469427525,0.0,0.7355403298599161,0.35011894022924095,0.2799776219013809,0.45886757192766514,0.40053244229979174,2.011381708998493,1.7394937549796914,0.8326759232113689
COOH,0.534330043258439,0.28857994224808614,1.0357435743792143,1.6166092117323956,1.3820058566676185,1.762580645240378,4.252561654527506,1.1698281078420831,0.7355403298599161,0.0,0.4686623953592874,0.673172512273583,0.7825712713140733,1.007527937863694,1.2895298122477712,1.1097401223916488,0.40781615701097546
H,0.7456629273409916,0.39706395954567164,0.9199908514071434,1.212564747633635,1.2935019438266158,1.3265613214064191,3.8165338694194877,0.8148101952710007,0.35011894022924095,0.4686623953592874,0.0,0.3348830649554721,0.599567829067929,0.7218890878515456,1.7255582603232724,1.446962760251743,0.5504490616740396
H2,0.9748540665402615,0.5758748120510537,0.6497675684209685,0.9660366087977967,1.024472011000103,1.0971876983128355,3.587117992471777,0.5401083227310362,0.2799776219013809,0.673172512273583,0.3348830649554721,0.0,0.4376715626331089,0.4726582132592544,1.9549737051570655,1.6289200561154007,0.7754283838634883
H2O,1.1706974783830586,0.7174484658070988,0.4714651811696541,0.9126226008456512,0.8246431512850697,1.0192772983526266,3.499030664535458,0.4846149346397183,0.45886757192766514,0.7825712713140733,0.599567829067929,0.4376715626331089,0.0,0.47344030899494927,2.0430605448810013,1.717104194630318,0.8852775220385369
HCO,1.4200607892702157,0.99367832380857,0.3270002980911204,0.6092169135657873,0.7886721114524002,0.755190522610927,3.2451735517307063,0.23642330539063044,0.40053244229979174,1.007527937863694,0.7218890878515456,0.4726582132592544,0.47344030899494927,0.0,2.2969184044420574,2.050201012241526,1.1202538448229038
HCOO,1.1393507166802386,1.4203701663620043,2.112023842204187,2.9061345875897024,2.3038214300665416,3.052108448645082,5.5420912094164585,2.459357662731037,2.011381708998493,1.2895298122477712,1.7255582603232724,1.9549737051570655,2.0430605448810013,2.2969184044420574,0.0,0.6497689468651701,1.1889471034442474
O,0.7733474597112506,1.0801788602885636,2.089162787199525,2.5787283558887397,2.341453634597983,2.682347990818275,5.1723066666303055,2.161869710781462,1.7394937549796914,1.1097401223916488,1.446962760251743,1.6289200561154007,1.717104194630318,2.050201012241526,0.6497689468651701,0.0,0.9488156439857829
OH,0.5029675413069925,0.3175809232766572,1.1850347480169547,1.7269169036793603,1.480390183793739,1.872563135054717,4.362546376335265,1.2798884030283533,0.8326759232113689,0.40781615701097546,0.5504490616740396,0.7754283838634883,0.8852775220385369,1.1202538448229038,1.1889471034442474,0.9488156439857829,0.0
